Waiting,Closed,Closed1o,Atozuke,Atozuke1o,TerminalAtozuke,TerminalAtozuke1o,Closed Guestwind,Closed1o Guestwind,Atozuke Guestwind,Atozuke1o Guestwind,TerminalAtozuke Guestwind,TerminalAtozuke1o Guestwind,Closed Doublewind,Closed1o Doublewind,Atozuke Doublewind,Atozuke1o Doublewind,TerminalAtozuke Doublewind,TerminalAtozuke1o Doublewind,Closed Dora,Closed1o Dora,Atozuke Dora,Atozuke1o Dora,TerminalAtozuke Dora,TerminalAtozuke1o Dora
2,94438,6938,7384,172,3416,75,15779,3510,1160,101,643,31,6730,391,542,16,309,4,5632,68,397,5,210,2
3,81016,9978,9802,475,4676,165,13723,3926,1569,217,862,71,5913,566,747,34,413,15,5230,91,556,7,304,5
4,66855,11629,11326,838,5517,308,11429,3956,1917,327,993,115,4996,659,897,60,472,27,4745,141,731,13,361,9
5,53627,11916,11988,1171,5825,456,9204,3657,2044,416,1064,174,4123,701,950,97,488,35,4051,187,841,20,417,11
6,42190,11351,11730,1407,5844,606,7202,3232,2002,509,1041,206,3256,668,963,115,474,51,3448,199,889,32,446,17
7,32463,10019,10851,1601,5500,693,5565,2774,1831,534,961,212,2567,630,891,132,457,59,2909,216,918,40,440,20
8,24655,8488,9601,1587,4854,727,4159,2227,1569,520,842,231,1959,534,809,137,413,65,2385,207,877,46,420,17
9,18528,6837,7981,1523,4136,709,3046,1786,1259,450,701,244,1461,441,699,127,331,63,1990,185,794,53,378,22
10,13692,5390,6355,1338,3394,635,2176,1402,998,384,545,215,1080,334,567,116,289,49,1530,157,698,53,337,26
11,9961,4063,4823,1096,2661,530,1526,1025,754,314,429,170,754,253,444,109,234,40,1203,121,579,50,287,18
12,6864,2968,3553,869,1979,431,1044,748,543,245,328,125,533,187,320,81,173,31,909,99,426,40,217,11
13,4549,2099,2523,639,1420,310,696,512,367,165,216,93,347,133,219,59,117,25,631,66,304,36,152,7
14,2888,1264,1641,445,878,203,419,331,223,110,139,56,211,82,142,38,78,15,424,45,213,29,101,4
15,1508,645,839,209,453,118,221,166,126,67,73,27,103,33,60,18,31,5,234,14,115,19,60,3
16,294,149,156,51,83,29,31,43,28,8,18,5,1,0,0,0,1,0,44,2,19,2,12,2
