No call total,Shanten,4,6,8,10,12
3,3.52,925,395,163,70,49
4,2.0,2739,2179,1235,582,255
5,2.24,1636,1504,959,501,209
6,2.40,1377,1134,634,314,167
7,1.0,3062,4088,3617,2370,1429
8,1.16,1278,2150,2210,1596,923
9,1.24,472,797,734,586,385
10,0.0,560,1294,1833,1810,1460
11,0.5,361,947,1532,1593,1318
12,0.9,24,82,137,153,119
"2, 3 call win",Shanten,4,6,8,10,12
0,4,0,0,0,0,0
1,3.0,0,0,0,0,0
2,3.32,6,0,0,0,0
3,3.52,1,1,0,0,0
4,2.0,13,10,7,1,0
5,2.24,45,38,24,9,4
6,2.40,64,41,20,7,3
7,1.0,270,340,274,155,65
8,1.16,194,267,229,137,61
9,1.24,98,166,128,65,28
10,0.0,217,600,769,721,504
11,0.5,216,592,855,830,580
12,0.9,12,30,60,63,36
"2, 3 call total",Shanten,4,6,8,10,12
0,4,1,3,1,1,1
1,3.0,3,6,2,0,0
2,3.32,40,36,21,7,1
3,3.52,26,11,7,10,3
4,2.0,83,89,84,40,16
5,2.24,215,262,197,121,75
6,2.40,212,184,121,74,47
7,1.0,808,1338,1276,939,573
8,1.16,456,802,867,607,380
9,1.24,220,435,449,322,236
10,0.0,417,1210,1858,2024,1664
11,0.5,327,947,1481,1613,1285
12,0.9,13,39,78,89,58
,Hands,31971
