callturn,D,ND,D vs ND,ND vs ND,ND vs D,D vs ND ND,ND vs ND ND,ND vs D ND,D vs ND ND ND,ND vs D ND ND
4,-16.006548792625793,-11.81936546493374,-12.962993290117138,-9.410812510660072,-10.232979387882573,-10.42163598651802,-7.519782581216028,-8.168854762135451,-8.136417556346382,-6.481006025674613
6,-16.240300874993604,-12.019208652534864,-13.148775728444331,-9.524517437060416,-10.511445618687361,-10.627678881723751,-7.603944218565946,-8.323585081295768,-8.66828836797877,-6.7000752769114955
8,-16.1589961450712,-12.006013603945512,-13.412132706788201,-9.739032262439144,-10.999962128862856,-11.244490005125577,-7.883788731439419,-8.808056872037914,-9.355860908581043,-7.335087592819551
10,-15.792502218278615,-12.083237306701948,-13.836205940418358,-9.998227984873042,-11.59431906614786,-12.053429947844089,-8.305353865794302,-9.591705597625353,-10.261824760920135,-8.195750825082508
12,-15.621022067363532,-12.130233822729744,-14.284568572925483,-10.582351307384041,-12.209912339851652,-13.053312147279602,-9.250402263774067,-10.645256627185562,-11.255599104143338,-9.170284060619908
14,-14.727305475504323,-11.94782825761358,-14.55991112521822,-11.35177304964539,-12.742866323907455,-14.019165727170236,-10.593838704291201,-11.921774872160011,-12.81376787495843,-10.909982935153584
16,-13.394285714285715,-12.457924836601308,-13.939024390243903,-12.066449734543585,-12.421885045647421,-14.694155925416093,-12.132102644671379,-13.053699809262973,-14.301264852433883,-13.456351176879531
18,,-11.425531914893616,-13.142857142857142,-12.055729166666667,-12.715254237288136,-14.767441860465116,-13.703929797787104,-13.848698099929628,-16.036067892503535,-15.442527447904997
callturn,D,ND,D vs ND,ND vs ND,ND vs D,D vs ND ND,ND vs ND ND,ND vs D ND,D vs ND ND ND,ND vs D ND ND
4,157739,517891,87930,187616,105666,15428,15822,41284,843,3817
6,97715,318242,90707,191374,102572,25897,26317,64456,2261,9299
8,50844,163629,70652,147478,79216,29265,29498,69630,3566,13871
10,22540,70293,45081,92550,51400,25117,25066,59293,3869,14544
12,8610,25746,24813,50406,29660,18251,18023,44325,3572,13131
14,2776,8012,12602,24675,15560,12418,11978,30898,3007,11720
16,875,2448,6232,11678,7777,7991,7638,20447,2609,10069
18,0,47,798,1920,295,2537,2621,4263,1414,4463
riichiturn,D vs ND,ND vs ND,ND vs D,D vs ND ND,ND vs ND ND,ND vs D ND,D vs ND ND ND,ND vs D ND ND
4,-19.515106488360576,-10.92461796263412,-18.688693342188277,-19.034375,-9.796407185628743,-12.376288659793815,0.0,0.0
6,-19.251421800947867,-11.071173336798337,-17.949764002044315,-17.53983833718245,-9.39854260089686,-13.214905450500556,-18.916666666666668,-6.866666666666666
8,-18.857402435830277,-11.242317623786297,-17.45895510632712,-17.086040779744568,-9.328229458701747,-12.971094815825376,-15.573770491803279,-7.994318181818182
10,-18.515713452228898,-11.537922299141753,-16.755429003051173,-17.67913183751283,-9.97084340776561,-13.18384539147671,-11.288288288288289,-9.477108433734939
12,-17.87757758316134,-11.86332990909954,-16.222906784020118,-17.906863427537242,-10.927931596091206,-13.840509799939067,-16.8943661971831,-8.688391038696537
14,-16.67135666052793,-12.262469262880998,-15.175043302116666,-18.0,-12.30464135021097,-14.46504310616072,-21.394495412844037,-10.844611528822055
16,-14.471196152665508,-12.532156529817874,-13.613279506239932,-17.35161553081727,-14.754120148856991,-15.583365019011406,-23.19672131147541,-18.892857142857142
18,-14.788494660695832,-13.954341182815028,-13.72528981086028,-21.78,-18.536585365853657,-16.684959349593495,,-20.0
riichiturn,D vs ND,ND vs ND,ND vs D,D vs ND ND,ND vs ND ND,ND vs D ND,D vs ND ND ND,ND vs D ND ND
4,18171,39983,30115,320,334,776,2,3
6,42200,92352,66526,1732,1784,4495,12,45
8,61088,132446,95225,4463,4637,11728,61,176
10,63417,137373,100617,6819,7031,18162,111,415
12,53781,115841,87485,7183,7368,19694,142,491
14,40725,87435,68126,5784,5925,15891,109,399
16,29319,62429,51523,3683,3762,10520,61,196
18,2903,5563,6556,100,82,492,0,3
