Round,Position,Mean,Stddev
0,1,-2.159073430338081,139.8197201278923
0,2,1.829875671980935,143.67257664556345
0,3,1.0463183361298631,142.98474977174178
0,4,0.2595493852954608,147.5618070728928
0,Ahead <4000,1.5060990005508774,147.52408191124627
0,Ahead 4000,-0.9205617828186611,143.60156049830658
0,Ahead 8000,-3.1665742654100097,138.76172982822754
0,Ahead 12000,-3.4996923076923077,137.77070715195606
0,Ahead 16000,-6.071821631878558,128.80284912478993
0,Behind <4000,0.19034301172691498,147.64583042903146
0,Behind 4000,0.9462599469496021,147.60898899668615
0,Behind 8000,4.455309203461563,146.92405680117471
0,Behind 12000,1.9680628272251308,141.03844548992143
0,Behind 16000,2.060004724781479,129.27165528386277
0,All,0.1986218761440382,146.50366069602003
1,1,-1.6701915584037963,131.37803734697556
1,2,0.6799706288318942,133.82973323792805
1,3,1.6487747086382738,137.15219904813574
1,4,0.4329407150375609,139.39212439107018
1,Ahead <4000,0.4625135982594228,136.5489907921711
1,Ahead 4000,-0.39684014869888473,132.27757818966086
1,Ahead 8000,-3.1023461014071465,129.7050003160204
1,Ahead 12000,-4.692469776384756,125.42743495386598
1,Ahead 16000,-6.797674418604651,118.65994370848429
1,Behind <4000,-0.20625311236957,139.27128220440144
1,Behind 4000,1.0260801168604978,141.25680293349458
1,Behind 8000,2.9535842961858614,140.87398802237598
1,Behind 12000,3.3465315372025684,136.1932696377119
1,Behind 16000,2.635108695652174,123.61037559555665
1,All,0.3516329438586492,135.94442355217018
2,1,-2.8053961260990454,119.154918473763
2,2,1.4119490762654292,123.81187235149329
2,3,1.9314654709176429,126.59012798712233
2,4,0.8833053013548053,130.19572413706243
2,Ahead <4000,-0.7792926064138208,123.06207927808379
2,Ahead 4000,-1.4284282864948152,121.25947251837117
2,Ahead 8000,-2.9596401891385242,118.78692641361815
2,Ahead 12000,-5.603387692584918,116.34867075865941
2,Ahead 16000,-6.8691319020607455,109.91218131249421
2,Behind <4000,0.48902177793645124,130.32413513903882
2,Behind 4000,1.0953031761308951,132.3924790496682
2,Behind 8000,1.7057967413297364,130.82378111178988
2,Behind 12000,1.2465030448422219,127.78348158745396
2,Behind 16000,1.8702480628217797,117.47246871686232
2,All,0.36310755751900287,125.12364214119472
3,1,-2.545780361806729,106.71083061487265
3,2,1.0160454071473677,111.70675807506936
3,3,2.054689285986436,115.14638892786353
3,4,0.8958411996332056,119.24309415399065
3,Ahead <4000,-0.339070038532526,110.96198000508583
3,Ahead 4000,-0.8785807901142109,108.51395764917376
3,Ahead 8000,-3.613004781169548,106.59898469854902
3,Ahead 12000,-4.347040538790312,103.55009201843625
3,Ahead 16000,-5.897766479026694,99.59960831809896
3,Behind <4000,1.324242231481187,119.26310955365781
3,Behind 4000,0.7727934067378184,121.32822337129238
3,Behind 8000,0.5669310667546296,120.30696650851844
3,Behind 12000,0.44920206788042255,118.96117202464458
