Riichi counts,sanmenchan+,ryanmen,single,honor,Win,sanmenchan+,ryanmen,single,honor,Draw,sanmenchan+,ryanmen,single,honor,Dealin,sanmenchan+,ryanmen,single,honor,,,,,,,,,,,,,
10,0.70%,5.30%,2.90%,0.60%,9.50%,,10,7.00%,55.90%,31.00%,6.10%,,10,60.60%,49.10%,36.60%,47.90%,46.00%,,10,13.40%,17.50%,23.10%,18.10%,19.00%,,10,8.40%,10.20%,13.80%,11.70%,11.30%
11,0.50%,4.10%,2.20%,0.40%,7.20%,,11,7.20%,56.50%,30.30%,6.00%,,11,56.70%,45.60%,33.30%,44.80%,42.70%,,11,14.50%,20.00%,26.00%,20.40%,21.50%,,11,8.60%,10.50%,13.70%,11.60%,11.40%
12,0.40%,2.90%,1.60%,0.30%,5.10%,,12,7.30%,56.00%,30.50%,6.20%,,12,50.10%,41.90%,30.60%,41.50%,39.00%,,12,17.30%,22.50%,30.20%,26.30%,24.70%,,12,9.30%,10.40%,12.90%,10.90%,11.10%
13,0.20%,1.90%,1.10%,0.20%,3.40%,,13,6.90%,55.90%,30.70%,6.50%,,13,46.30%,38.40%,28.20%,32.90%,35.50%,,13,20.90%,27.90%,33.70%,31.00%,29.40%,,13,9.30%,9.70%,11.40%,13.80%,10.50%
14,0.20%,1.30%,0.70%,0.10%,2.20%,,14,6.90%,56.50%,30.30%,6.30%,,14,38.80%,33.60%,22.70%,30.90%,30.50%,,14,35.90%,32.70%,40.70%,33.00%,35.40%,,14,7.70%,9.20%,10.90%,10.50%,9.70%
15,0.10%,0.70%,0.40%,0.10%,1.30%,,15,6.80%,54.30%,31.80%,7.10%,,15,39.60%,28.80%,20.40%,27.20%,26.70%,,15,32.80%,41.00%,44.90%,42.40%,41.80%,,15,5.30%,7.00%,10.50%,10.10%,8.20%
16,0.00%,0.40%,0.20%,0.10%,0.70%,,16,6.90%,51.90%,32.20%,9.10%,,16,32.10%,24.50%,18.10%,20.40%,22.60%,,16,42.10%,49.00%,55.70%,56.50%,51.30%,,16,7.10%,5.40%,6.80%,9.70%,6.40%
17,0.00%,0.10%,0.10%,0.00%,0.30%,,17,6.30%,52.50%,30.70%,10.40%,,17,34.00%,18.40%,14.50%,19.50%,18.30%,,17,44.00%,62.10%,61.20%,65.90%,61.00%,,17,2.00%,4.30%,4.10%,3.70%,4.10%
18,0.00%,0.00%,0.00%,0.00%,0.00%,,18,12.60%,47.10%,35.30%,5.00%,,18,26.70%,16.10%,2.40%,16.70%,12.60%,,18,53.30%,67.90%,73.80%,66.70%,68.10%,,18,6.70%,3.60%,7.10%,0.00%,5.00%
Total,6.80%,53.70%,32.10%,7.40%,100.00%,,Avg,6.80%,53.70%,32.10%,7.40%,,Total,65.80%,55.10%,42.30%,56.80%,51.80%,,Total,11.80%,16.70%,22.70%,16.20%,18.20%,,Total,7.10%,9.30%,12.40%,9.80%,10.20%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riichi counts,sanmenchan+,ryanmen,single,honor,Win,sanmenchan+,ryanmen,single,honor,Draw,sanmenchan+,ryanmen,single,honor,Dealin,sanmenchan+,ryanmen,single,honor,,,,,,,,,,,,,
1,106,961,1081,415,1,82,741,643,337,1,9,89,198,40,1,4,59,81,17,,,,,,,,,,,,,
2,279,2208,1824,686,2,245,1651,1036,513,2,11,241,328,74,2,5,112,176,46,,,,,,,,,,,,,
3,623,5060,3746,1177,3,515,3630,2143,881,3,41,584,672,128,3,32,320,383,69,,,,,,,,,,,,,
4,1188,9374,6368,1869,4,958,6484,3486,1321,4,85,1159,1153,219,4,44,655,691,132,,,,,,,,,,,,,
5,1786,14182,9034,2349,5,1376,9328,4654,1526,5,130,1777,1722,255,5,99,1108,985,222,,,,,,,,,,,,,
6,2315,18368,11386,2696,6,1698,11422,5374,1693,6,197,2370,2184,335,6,146,1575,1434,275,,,,,,,,,,,,,
7,2501,20374,12272,2713,7,1762,11898,5374,1564,7,226,2813,2492,354,7,157,1989,1544,268,,,,,,,,,,,,,
8,2692,20512,11943,2488,8,1819,11452,5034,1325,8,260,2983,2466,384,8,213,2070,1639,301,,,,,,,,,,,,,
9,2354,18687,10444,2067,9,1475,9810,4052,1089,9,251,2948,2341,337,9,203,1982,1386,200,,,,,,,,,,,,,
10,1984,15751,8745,1721,10,1203,7727,3205,824,10,265,2756,2016,311,10,167,1608,1204,201,,,,,,,,,,,,,
11,1541,12067,6459,1283,11,873,5508,2152,575,11,223,2418,1679,262,11,133,1271,887,149,,,,,,,,,,,,,
