turndealer,ippatsu tsumo,ippatsu ron,riichi tsumo,riichi ron,dama tsumo,dama ron,tanyao,yakuhai,honitsu,chinitsu,other open yaku,
10,9727.913052,7840.605621,7428.322863,5684.61122,4963.527427,4338.684619,3326.77919,3204.974037,6739.331994,10230.76923,3261.583012,
11,9834.34762,7985.155141,7591.547524,5804.890227,5106.027038,4419.567561,3398.032235,3327.812355,6818.566868,10174.98532,3350.055894,
12,9970.721477,8000.490664,7775.79605,5984.724982,5187.259447,4536.447501,3512.055738,3463.093588,6887.475675,10290.80119,3553.91972,
13,10017.44798,8139.312903,7998.867352,6034.235192,5344.066955,4652.395294,3629.294184,3648.77938,7006.323582,10374.76341,3661.781964,
14,10163.85965,8258.23622,8125.131021,6319.596929,5494.17272,4790.130199,3713.761597,3817.266171,7094.519822,10440.77135,3768.50019,
15,10312.17737,8430.260181,8567.558299,6580.146699,5722.148162,4825.935254,3858.457013,3980.086832,7190.957923,10463.81579,3896.358154,
16,10743.71585,8348.584906,8932.508834,6657.543103,5730.046739,4916.090952,3931.939813,4115.803702,7330.073541,10620.55716,4077.116844,
17,10610.29412,8073.684211,9455.555556,7340,6366.167024,5192.895054,4196.965824,4378.346045,7538.294737,10746.05103,3934.582669,
18,8780,7200,10633.33333,6600,6845.400943,5482.701422,4767.68394,4873.131041,7856.924316,11356.94823,3863.854458,
turnnondealer,ippatsu tsumo,ippatsu ron,riichi tsumo,riichi ron,dama tsumo,dama ron,tanyao,yakuhai,honitsu,chinitsu,other open yaku,
0,42,168,263,293,2,40,3,94,20,1,0,
1,1354,1117,6934,7109,65,262,25,645,101,1,24,
2,2454,2311,16943,17094,731,1122,178,2886,351,13,123,
3,4975,4449,31390,32009,1414,2623,797,9326,1013,44,414,
4,8286,7443,47835,47991,2809,5759,2653,22485,2411,116,1036,
5,11269,10937,61031,61663,4893,10934,6804,42545,4661,246,2289,
6,13982,13725,67728,70140,7642,17637,13298,64527,7522,445,3834,
7,14948,15193,65851,69652,10895,24694,22280,83718,10178,793,5542,
8,14468,15710,57813,62183,13807,30450,31494,95437,12742,1097,7240,
9,12895,14574,46622,51121,16331,34419,39449,99241,14250,1347,7943,
10,10719,12417,34541,38788,17191,34758,44613,93787,14431,1560,8288,
11,8446,9862,23851,27238,16791,33392,46347,84031,14095,1703,8051,
12,5960,7337,14886,17617,15745,29810,44709,70714,12847,1685,7424,
13,3989,5123,8564,10349,14099,24903,41073,57266,11212,1585,6476,
14,2565,3175,4007,5210,12390,20507,35461,44787,9434,1452,5254,
15,1511,1768,1458,2045,10502,16279,30253,34319,7819,1216,4311,
16,549,636,283,464,8986,12622,24590,26633,6391,1041,3295,
17,68,95,9,40,5137,8290,17995,19142,4750,823,3762,
18,5,7,3,3,848,1688,6619,8173,2484,367,2501,
other yaku,['Chankan', 'Rinshan', 'Haitei', 'Houtei', 'Chanta', 'Itsu', 'Doujun', 'Doukou', 'Sankantsu', 'Toitoi', 'Sanankou', 'Junchan']
other yaku,[99,911,2238,2941,11743,21583,47728,684,7,18413,3134, 8978]
tanyao doracalled,1,2,3,4,5,6,7,8,9,Honor,,
0,2356.446314,3859.323281,4052.873258,4303.162827,4496.495651,4208.589376,4058.399223,3812.106046,2339.175968,2332.296664,,
