Rnd 1,1,2,3,4,Ahead <4000,Ahead 4000,Ahead 8000,Ahead 12000,Ahead 16000,Behind <4000,Behind 4000,Behind 8000,Behind 12000,Behind 16000
win,9133,9382,9494,9369,2415,1973,1486,1064,2195,3433,2261,1606,1033,1036
dealin,4415,5112,5628,6945,1223,944,704,467,1077,2285,1688,1254,815,903
tenpai,1957,2503,2939,4227,584,422,310,225,416,1316,1064,773,545,529
noten,5050,4504,4109,2843,1220,1048,847,622,1313,1093,751,483,277,239
hands,44736,44794,44936,45190,11802,9451,7160,5251,11072,15710,11170,7893,5161,5256
Rnd 6,1,2,3,4,Ahead <4000,Ahead 4000,Ahead 8000,Ahead 12000,Ahead 16000,Behind <4000,Behind 4000,Behind 8000,Behind 12000,Behind 16000
1100,1074,917,889,333,283,225,168,136,262,205,62,23,22,21
2000,2038,1772,1967,1172,505,426,343,250,514,572,258,152,76,114
2700,548,529,572,516,131,127,83,77,130,211,115,78,56,56
4000,1577,1466,1623,1399,422,364,242,189,360,517,373,231,141,137
5200,403,526,622,692,115,95,59,43,91,221,188,125,81,77
8000,1775,2156,2453,2781,523,375,268,187,422,843,723,506,368,341
12000,918,1093,997,1274,240,200,152,115,211,371,330,253,152,168
18000,161,221,184,263,40,36,20,19,46,77,70,42,35,39
192000,21,33,26,32,4,5,2,2,8,4,13,4,5,6
called,14637,15251,15785,14071,4043,3185,2296,1742,3371,5313,3549,2227,1494,1488
riichi,3331,5270,6260,10312,1051,772,507,296,705,2779,2628,2074,1432,1399
win,8515,8713,9333,8462,2263,1853,1337,1018,2044,3021,2132,1414,936,959
dealin,4144,4681,5215,6890,1058,841,623,482,1140,2044,1674,1273,883,1016
tenpai,1629,2226,2602,4257,447,344,258,188,392,1166,1089,861,584,557
noten,4859,4294,3916,2277,1068,947,816,679,1349,712,604,400,298,263
hands,41860,41978,42026,42216,10570,8622,6725,5149,10794,13332,10463,7514,5286,5621
Rnd 7,1,2,3,4,Ahead <4000,Ahead 4000,Ahead 8000,Ahead 12000,Ahead 16000,Behind <4000,Behind 4000,Behind 8000,Behind 12000,Behind 16000
1100,1348,874,1020,214,362,279,237,159,311,186,15,5,3,5
2000,2464,1813,1900,740,689,556,396,286,537,497,108,66,26,43
2700,602,474,479,274,152,134,87,78,151,192,50,24,4,4
4000,1473,1455,1349,967,434,276,247,157,359,492,242,123,55,55
5200,365,435,465,419,102,72,61,39,91,194,132,67,17,9
8000,1170,1689,1816,1841,303,216,184,148,319,628,579,343,174,117
12000,354,828,781,998,105,63,43,40,103,248,269,202,152,127
18000,44,123,186,213,15,6,7,2,14,41,40,45,43,44
192000,8,23,24,36,5,0,1,0,2,10,5,5,4,12
called,13519,13275,13937,10674,4164,2808,2132,1540,2875,4823,2386,1580,966,919
riichi,1198,3434,3653,7315,398,234,148,95,323,1956,2002,1573,984,800
win,7828,7714,8020,5702,2167,1602,1263,909,1887,2488,1440,880,478,416
dealin,3724,4174,4641,6247,1029,627,560,424,1084,1916,1504,1091,832,904
tenpai,1130,1650,1724,3352,315,195,154,142,324,862,855,747,474,414
noten,3665,3152,3102,1473,638,808,716,560,943,316,305,286,253,313
hands,34313,34393,34473,34585,8788,6930,5608,4264,8723,10707,8147,6286,4478,4967
