Turn,0,1,2,3,4+,riichi_in_3,,,,,,,
2,0.164179104,0.185355111,0.298197582,,,,,,,,,,
3,0.272727273,0.219795632,0.343713011,0.383253525,,,,,,,,,
4,0.232142857,0.241622977,0.389200999,0.432796269,0.45655814,,,,,,,,
5,0.25,0.268766404,0.417666708,0.477950754,0.503350565,0.501732087,,,,,,,
6,0.288888889,0.294375,0.448461309,0.516531084,0.538905692,0.544835974,0.538257024,,,,,,
7,0.375,0.327116747,0.468248039,0.538734698,0.567182131,0.570922996,0.576239724,0.564863475,,,,,
8,0.21875,0.339402428,0.47520564,0.548708225,0.583127093,0.589361147,0.593567003,0.592811855,0.58800884,,,,
9,0.266666667,0.350626118,0.480472298,0.546942557,0.585518102,0.59591529,0.600487751,0.607895533,0.599413776,0.593193183,,,
10,0.166666667,0.34496124,0.472575517,0.53783729,0.572366727,0.592029317,0.597398714,0.600600396,0.596552405,0.595993436,0.58625395,,
11,0.210526316,0.339855819,0.449306297,0.52245671,0.553846154,0.571464237,0.583981741,0.587775607,0.587013694,0.579320113,0.585312727,0.576267434,
12,0.153846154,0.337837838,0.418670438,0.49045045,0.529241179,0.543636672,0.562720973,0.563411458,0.564613073,0.569726332,0.557819225,0.556927518,0.558064516
3m,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,,,,,,,
1,,0.133333333,,,,,,,,,,,
2,,0.111111111,0.185806452,,,,,,,,,,
3,,0.266666667,0.199421965,0.361927145,,,,,,,,,
4,,0.076923077,0.210443038,0.386001386,0.462533855,,,,,,,,
5,,0.153846154,0.240773286,0.385895404,0.484501845,0.539587242,,,,,,,
6,,0,0.252631579,0.383018868,0.495476088,0.563319819,0.568452789,,,,,,
7,,0.1,0.260545906,0.387022016,0.50296496,0.577214452,0.58433411,0.59759689,,,,,
8,,0.181818182,0.280487805,0.392603129,0.501351351,0.578715596,0.578453797,0.614077281,0.604506232,,,,
9,,0.125,0.27238806,0.379432624,0.502142245,0.566650509,0.571215288,0.604265894,0.608247423,0.611577842,,,
10,,0.428571429,0.275362319,0.378076063,0.4765625,0.541454082,0.568596352,0.589829561,0.598373269,0.597868039,0.592470069,,
11,,0.142857143,0.26035503,0.334355828,0.453488372,0.52044293,0.542381974,0.562783661,0.582232893,0.584477165,0.573061971,0.569016882,
12,,0.166666667,0.231884058,0.308016878,0.428849903,0.494749125,0.509352518,0.534536082,0.555822329,0.552377671,0.555102041,0.54005848,0.52377158
1st2ted,dama,1shanten,riichi_in_3,riichi_in_6,open_in_6,count,,,,,,,
"guest,guest,",0.046,0.27,0.196,0.294,0.165,21539,,,,,,,
"guest,yakuhai,",0.063,0.326,0.227,0.327,0.148,44708,,,,,,,
"guest,terminal,",0.051,0.282,0.191,0.276,0.181,38012,,,,,,,
"guest,simple,",0.101,0.356,0.209,0.287,0.169,12932,,,,,,,
"yakuhai,guest,",0.077,0.343,0.239,0.338,0.125,5790,,,,,,,
"yakuhai,yakuhai,",0.076,0.361,0.254,0.36,0.135,28340,,,,,,,
"yakuhai,terminal,",0.091,0.37,0.25,0.345,0.15,15974,,,,,,,
"yakuhai,simple,",0.133,0.42,0.266,0.357,0.133,16476,,,,,,,
"terminal,guest,",0.044,0.263,0.166,0.247,0.177,22301,,,,,,,
"terminal,yakuhai,",0.066,0.327,0.216,0.309,0.161,36363,,,,,,,
"terminal,terminal,",0.049,0.267,0.17,0.248,0.19,32223,,,,,,,
"terminal,simple,",0.098,0.34,0.196,0.269,0.183,18419,,,,,,,
"simple,guest,",0.061,0.306,0.156,0.218,0.189,1648,,,,,,,
"simple,yakuhai,",0.079,0.335,0.206,0.29,0.166,4406,,,,,,,
