1st,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
19,0.03166571026135949,0.04465445424821964,0.05871747100186309,0.07090389443880549,0.07914067914067914,0.07982446394845018,0.07923281039057772,0.07400310247285337,0.06296735177542598,0.05544610188573037,0.04987786620439682,0.04761371274927179,0.038449214995193846,0.038632326820603906,0.0365778053316801,0.03429297205757832,0.04138702460850112,0.02786144578313253,0.025157232704402517
28,0.00356855911599904,0.009927486187845305,0.01807930716138392,0.02851628024541005,0.03742059002697763,0.04420817011751539,0.046146784478942965,0.04618042303597614,0.0424359889829644,0.036884291748428506,0.032246617875360394,0.026837596597376147,0.024887242268041235,0.022261212852286435,0.019686204854943753,0.021115846571096473,0.020260130065032515,0.017049180327868854,0.011811023622047244
37,0.0010909317596209792,0.003576690653626871,0.007882882882882882,0.013919896410073228,0.0196541623358216,0.025589303955415907,0.02861101693666072,0.03235185931232593,0.030507886982145953,0.02970049222725882,0.026869927615705197,0.023508668821627974,0.021680037127892328,0.01934908604547481,0.02004055827269474,0.0172090112640801,0.022972148810733888,0.016698087799622948,0.01233183856502242
46,0.0015001250104175348,0.0033864157575497784,0.006569802797324298,0.010601850301873737,0.016304347826086956,0.020944153197380057,0.02344879430983635,0.026033247690187337,0.026350378669337173,0.02455927692429313,0.02236738602551387,0.02181094167156885,0.020330911533060627,0.01832098363325462,0.0170194195941523,0.01829799593377868,0.014385835485060863,0.01832208293153327,0.009193054136874362
5,0.0015818832736658062,0.0029967677719031616,0.005604241047279022,0.009448643841707426,0.013193599700570787,0.016618186417098772,0.02234193365466402,0.02171085542771386,0.021886609594572767,0.021438028312455445,0.021099534761811152,0.020427594564182465,0.01571890892279242,0.017584451642757983,0.014860681114551083,0.014602487831260141,0.01431564245810056,0.016114180478821363,0.010826771653543307
Honor,0.05208938807264793,0.055669551253457045,0.07288382509621448,0.08543951283511152,0.09181806204160506,0.09283028418540748,0.08170130408736924,0.0740054398182742,0.0594254230617867,0.05101298701298701,0.040268456375838924,0.03212187958883994,0.030797101449275364,0.028306337474445668,0.026932565789473683,0.02284527518172378,0.022489705416534684,0.01627630011909488,0.004654771140418929
2nd d,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
19,2.6153846153846154,0.09963954685890834,0.1016727962984933,0.09890597279716144,0.1052396878483835,0.10448622397461173,0.0962584243551011,0.10177012967802376,0.09972764675204265,0.08881747133153166,0.08931851135814403,0.09436469962785753,0.09341906202723146,0.09128402529557328,0.0867687475461327,0.09024252679075014,0.09651898734177215,0.08961748633879782,0.042606516290726815
28,0.4,0.06801007556675064,0.06488011283497884,0.0771136574790957,0.08214599824098505,0.07845744680851063,0.08102054727821599,0.08916447904408437,0.0869361342961643,0.07677272233684439,0.08205265267940666,0.07963832376977917,0.07179727827311122,0.07216164207825529,0.0832973672852827,0.0807489760093622,0.07808946171341925,0.08349900596421471,0.05701754385964912
37,0.0,0.03125,0.0496031746031746,0.05202754399387911,0.059582542694497156,0.05455407969639469,0.06370088281114765,0.06210448859455482,0.05940046967813234,0.06453973364554369,0.06637902422834384,0.06784423926134082,0.06316888540850953,0.06266666666666666,0.06936665230504092,0.06853932584269663,0.07614942528735633,0.06365313653136531,0.03571428571428571
46,0.2,0.036585365853658534,0.04230769230769231,0.037337662337662336,0.048963387737097484,0.05235602094240838,0.05249128562640968,0.06197134472639392,0.0583373845405931,0.057394776243553484,0.050931204865070315,0.058435652569349704,0.06442497880757277,0.057385759829968117,0.0632393084622384,0.06804733727810651,0.06167400881057269,0.06063522617901829,0.029411764705882353
5,0.6666666666666666,0.04938271604938271,0.04979253112033195,0.05353728489483748,0.043248945147679324,0.05502717391304348,0.05491762356465302,0.0531535105117017,0.047208692394155115,0.04953560371517028,0.05209222886421862,0.05185909980430528,0.05150462962962963,0.04741064916119621,0.04524886877828054,0.05380116959064327,0.0471976401179941,0.04267161410018553,0.03745318352059925
Honor,13.3,0.19524594668865072,0.19887278582930756,0.19677456120355596,0.1888894200889229,0.18062922992500458,0.16675632060247444,0.15866364006751643,0.14931426043356438,0.140012070006035,0.1249468763280918,0.12709299979826508,0.12511117699377408,0.11716738197424893,0.10121212121212121,0.11286307053941909,0.11925601750547046,0.07658959537572255,0.06688963210702341
3rd d,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
19,,0.17307692307692307,0.10516605166051661,0.11921824104234528,0.11962046763808878,0.10115424973767051,0.10058714462299134,0.09931918301962354,0.09917869586859134,0.1019468560905025,0.09603750756200848,0.10622238586156112,0.10610705022400377,0.1051023525817293,0.12161051766639278,0.1303131991051454,0.13671875,0.1217750257997936,0.0718954248366013
28,,0.0,0.0967741935483871,0.06944444444444445,0.09216589861751152,0.07914438502673797,0.09636247606892151,0.09747292418772563,0.0846656976744186,0.08297802558215808,0.09645010046885466,0.09817776124953514,0.08739569609134827,0.08721241305510968,0.11556139198949442,0.12003311258278146,0.12734864300626306,0.08628005657708628,0.07262569832402235
37,,,0.16666666666666666,0.11764705882352941,0.0673076923076923,0.07196969696969698,0.06896551724137931,0.07628128724672228,0.07785467128027682,0.0673076923076923,0.07180500658761528,0.075,0.07258064516129033,0.06743295019157088,0.0847457627118644,0.08200212992545261,0.08690330477356181,0.06432748538011696,0.04748603351955307
46,,0.0,0.16666666666666666,0.03571428571428571,0.060240963855421686,0.07035175879396985,0.06217616580310881,0.07507987220447285,0.06853932584269663,0.051771117166212535,0.06158833063209076,0.07460184409052809,0.06233538191395961,0.07421150278293136,0.0690010298661174,0.07683073229291716,0.08,0.07890222984562607,0.06329113924050633
5,,0.0,0.0,0.14285714285714285,0.025,0.022988505747126436,0.037037037037037035,0.09737827715355805,0.035422343324250684,0.05274725274725275,0.05979381443298969,0.06167400881057269,0.06444444444444444,0.07481296758104738,0.06182795698924731,0.08571428571428572,0.06563706563706563,0.06880733944954129,0.03305785123966942
Honor,31.5,0.4828150572831424,0.30314769975786926,0.23672055427251731,0.20326553203265532,0.16061452513966482,0.14569256756756757,0.1391311369509044,0.13236949181889013,0.12418431884348961,0.13509784244856998,0.13373963094633487,0.14810454438427126,0.15113941018766755,0.1499503475670308,0.15239477503628446,0.18281718281718282,0.16129032258064516,0.09830508474576272
4th d,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
19,,,0.0,0.05434782608695652,0.08680555555555555,0.058734939759036146,0.0664869721473495,0.05951679434295816,0.060123784261715295,0.06630686198920586,0.07207207207207207,0.07640700708162505,0.06691146470828234,0.07552320291173795,0.07327358987875593,0.10336538461538461,0.10526315789473684,0.09254267744833783,0.05328596802841918
28,,,0.0,0.0,0.045454545454545456,0.05970149253731343,0.04516129032258064,0.05750798722044728,0.05283757338551859,0.050946142649199416,0.0705596107055961,0.050724637681159424,0.0668724279835391,0.06531049250535331,0.0811138014527845,0.08701134930643127,0.08803301237964237,0.07219662058371736,0.05934718100890208
37,,,,0.0,0.0,0.08333333333333333,0.0,0.029850746268656716,0.058823529411764705,0.043478260869565216,0.041044776119402986,0.053824362606232294,0.07785888077858881,0.034722222222222224,0.06136363636363636,0.06382978723404255,0.07333333333333333,0.04265402843601896,0.043668122270742356
46,,,,0.5,0.0,0.0,0.0,0.06382978723404255,0.045454545454545456,0.05714285714285714,0.05434782608695652,0.038461538461538464,0.036231884057971016,0.049342105263157895,0.06646525679758308,0.0625,0.06470588235294118,0.059800664451827246,0.04395604395604396
5,,,,,0.0,0.0,0.0,0.0,0.02631578947368421,0.023255813953488372,0.08823529411764706,0.08235294117647059,0.02197802197802198,0.0782608695652174,0.06504065040650407,0.047244094488188976,0.08461538461538462,0.024193548387096774,0.06329113924050633
Honor,inf,0.2923076923076923,0.15113350125944586,0.1212406015037594,0.07951918631530282,0.06711597865768043,0.06853146853146853,0.06906213944288775,0.0716759524168047,0.07289776164549304,0.0830708008622119,0.08052292535051156,0.09853680841335162,0.09832272990167727,0.12363238512035012,0.11364717070851164,0.14714898835070508,0.15807560137457044,0.11787819253438114
