closed,Reduce Shanten,Increase Ukeire,Same Ukeire,Reduce Ukeire,Increase Shanten,Count
0,34636,24257,15062,3097,314,77366
1,30010,21706,11413,2885,490,66504
2,25047,19340,9396,2738,630,57151
3,20643,16467,8082,2627,704,48523
4,16412,13533,7325,2546,823,40639
5,12877,10655,6387,2547,715,33181
6,9496,8266,5486,2244,744,26236
7,6828,6163,4756,1964,690,20401
8,4879,4338,3713,1701,695,15326
9,3373,3100,2905,1451,672,11501
10,2334,2217,2148,1153,600,8452
11,1593,1541,1601,942,562,6239
12,1089,1050,1168,745,509,4561
13,844,760,798,587,466,3455
14,556,525,597,429,354,2461
15,425,421,425,330,315,1916
16,350,298,318,270,280,1516
17,207,182,200,189,236,1014
18,69,69,56,65,88,347
1,Reduce Shanten,Increase Ukeire,Same Ukeire,Reduce Ukeire,Increase Shanten,Count
0,1214,569,3,60,137,1983
1,2138,889,173,181,164,3545
2,2831,1352,355,295,184,5017
3,3369,1527,558,381,170,6005
4,3385,1572,710,394,145,6206
5,3175,1485,787,418,135,6000
6,2890,1275,801,411,126,5503
7,2508,1063,742,368,114,4795
8,2044,793,692,304,118,3951
9,1601,716,553,248,92,3210
10,1260,511,482,195,103,2551
11,938,366,357,200,88,1949
12,732,322,275,161,96,1586
13,539,271,230,141,118,1299
14,461,208,173,132,95,1069
15,326,155,152,135,114,882
16,246,148,139,112,106,751
17,187,86,111,80,95,559
18,52,38,44,28,38,200
2,Reduce Shanten,Increase Ukeire,Same Ukeire,Reduce Ukeire,Increase Shanten,Count
0,64,6,0,1,0,71
1,215,36,7,2,0,260
2,463,72,15,27,2,579
3,774,150,54,32,5,1015
4,1094,199,100,59,10,1462
5,1188,266,140,63,10,1667
6,1249,268,204,79,14,1814
7,1166,260,213,70,14,1723
8,1006,245,178,77,10,1516
9,798,190,159,74,17,1238
10,589,152,147,66,30,984
11,426,152,125,54,25,782
12,320,93,85,47,41,586
13,225,90,86,58,38,497
14,173,63,69,39,37,381
15,129,50,55,45,48,327
16,96,56,62,42,45,301
17,67,52,58,33,32,242
18,32,20,32,20,19,123
3,Reduce Shanten,Increase Ukeire,Same Ukeire,Reduce Ukeire,Increase Shanten,Count
0,3,0,0,0,0,3
1,5,4,0,0,1,10
2,34,2,0,1,0,37
3,56,6,2,2,0,66
4,106,7,7,3,0,123
5,152,17,6,6,1,182
6,162,21,12,5,0,200
7,171,12,13,9,1,206
8,148,21,17,13,1,200
9,126,28,17,8,1,180
10,100,19,22,10,2,153
11,81,11,13,7,0,112
12,69,16,12,4,3,104
13,44,11,19,9,2,85
14,37,22,4,7,4,74
15,34,8,11,7,3,63
16,23,5,12,8,1,49
17,21,5,12,7,2,47
18,12,5,11,3,3,34
closed,Noten,Wait tedashi,Not tedashi
0,77357,0,9
1,66466,2,36
2,57006,19,126
3,48250,39,234
4,40200,77,362
5,32553,122,506
6,25472,163,601
7,19560,170,671
8,14506,184,636
9,10772,177,552
10,7771,170,511
11,5663,135,441
12,4109,97,355
13,3089,89,277
