honitsu,1,2,3,
16,0.040082009,0.207128447,0.321698662,0.533333333
17,0.034980055,0.19384794,0.331460674,0.514893617
18,0.036070242,0.176382661,0.308641975,0.448051948
pair tanki,0,1,2,3
0,,0,0,
1,0,0,0,0
2,0.053571429,0.009615385,0.014084507,0.1
3,0.030864198,0.003610108,0.010869565,0.034482759
4,0.030985915,0.004878049,0.028720627,0.127272727
5,0.043333333,0.018808777,0.037676609,0.074468085
6,0.034562212,0.019431988,0.043673012,0.080745342
7,0.032128514,0.027459954,0.049348231,0.119496855
8,0.042277826,0.034596376,0.05984556,0.131578947
9,0.041373239,0.037263626,0.096807415,0.154639175
10,0.074306177,0.050797401,0.103485839,0.164772727
11,0.066258919,0.077756533,0.146002317,0.210843373
12,0.082327113,0.09902371,0.183116883,0.344262295
13,0.107391911,0.119158879,0.209985316,0.340277778
14,0.117117117,0.146103896,0.272435897,0.446969697
15,0.141129032,0.201107011,0.348460292,0.427480916
16,0.135549872,0.241341991,0.406871609,0.470588235
17,0.135964912,0.282934132,0.433145009,0.628099174
18,0.131578947,0.322033898,0.457777778,0.666666667
pair 1s,0,1,2,3
0,0.056603774,0.303030303,0.625,
1,0.102009569,0.25,0.488372093,0
2,0.155398391,0.336683417,0.422310757,0.285714286
3,0.201897268,0.377886444,0.507507508,0.142857143
4,0.261894749,0.42548853,0.519039735,0.140625
5,0.306435679,0.452116935,0.519219736,0.144144144
6,0.345586207,0.476108108,0.506584723,0.137566138
7,0.369966463,0.507155181,0.496470588,0.110497238
8,0.385539735,0.517675699,0.501199041,0.085714286
9,0.393903481,0.518636364,0.510791367,0.128318584
10,0.392344498,0.522883153,0.515072084,0.199095023
11,0.393364752,0.530875699,0.497126437,0.29535865
12,0.381702899,0.546337926,0.509481038,0.303370787
13,0.374555792,0.55206379,0.520020801,0.36440678
14,0.356016255,0.53027492,0.52583423,0.386666667
15,0.333559437,0.519767442,0.507893304,0.391304348
16,0.298616094,0.484196369,0.502617801,0.423529412
17,0.264344891,0.432675566,0.451310861,0.412765957
18,0.22638823,0.384155456,0.448559671,0.454545455
pair,0,1,2,3
0,53,66,8,0
1,5225,588,86,4
2,15412,1791,251,14
3,27197,3681,666,35
4,35667,5885,1208,64
5,41503,7936,1743,111
6,43500,9250,2278,189
7,42639,9853,2550,181
8,39612,9448,2502,210
9,36283,8800,2363,226
10,31559,8019,2289,221
11,26736,7514,2088,237
12,22080,6895,2004,178
13,18291,6396,1923,236
14,14519,5929,1858,225
15,11794,5160,1837,230
16,9755,4461,1719,255
17,6518,3446,1602,235
18,2107,1338,729,154
kan,0,1,2,3
0,0.005865103,0.011111111,0.073394495,0.555555556
1,0.002459734,0.018912932,0.126262626,0.545454545
2,0.00598783,0.042957862,0.168496158,0.727272727
3,0.00999392,0.072396027,0.24794792,0.725888325
4,0.014877871,0.098517257,0.29634211,0.767981439
5,0.02178651,0.131008764,0.348652046,0.814984709
6,0.027627353,0.164179104,0.395082176,0.868622449
7,0.038487925,0.196676257,0.442030917,0.871638142
8,0.047984863,0.233267614,0.489647713,0.884615385
9,0.058275692,0.272625033,0.505622334,0.895209581
10,0.069843588,0.289491997,0.529252037,0.891013384
11,0.081423483,0.301995917,0.537013401,0.857142857
12,0.091448931,0.316679021,0.536695367,0.806916427
13,0.095418272,0.333271923,0.537784679,0.799319728
14,0.107564127,0.341157703,0.521283563,0.778688525
15,0.109839516,0.343088071,0.503834356,0.733031674
16,0.124291785,0.34366485,0.508112724,0.73655914
17,0.136015326,0.345571363,0.496264674,0.727810651
18,0.115744681,0.375,0.415555556,0.71559633
kan tanki,0,1,2,3
0,0.5,0,0,0.2
1,0.232876712,0.045045045,0.05,0.083333333
2,0.235772358,0.02480916,0.039087948,0.078125
3,0.203842049,0.042553191,0.073059361,0.111888112
4,0.214491087,0.050590219,0.070363745,0.190332326
5,0.197120709,0.052092229,0.092147436,0.195121951
6,0.19202454,0.060528757,0.09448565,0.204111601
7,0.169723586,0.060917031,0.11576726,0.218793829
8,0.17849632,0.066948399,0.131902808,0.263868066
9,0.183435404,0.06964329,0.136503067,0.279264214
10,0.178077572,0.079927885,0.156716418,0.289699571
11,0.177878663,0.094630116,0.176470588,0.300546448
12,0.183376623,0.10252809,0.201680672,0.346428571
13,0.181687094,0.115533444,0.210779596,0.365957447
14,0.18537859,0.128924516,0.25,0.5
15,0.207185629,0.170593014,0.264840183,0.401234568
16,0.217948718,0.193260654,0.302521008,0.379562044
17,0.205231388,0.205843293,0.316129032,0.56097561
18,0.213235294,0.193146417,0.395721925,0.551282051
kan 1s,0,1,2,3
0,0.120234604,0.13968254,0.444954128,0.444444444
1,0.106712043,0.202249105,0.453282828,0.363636364
2,0.184697769,0.299393343,0.544456641,0.238636364
3,0.253197095,0.377383545,0.557599774,0.258883249
4,0.319673183,0.449889936,0.570418802,0.211136891
5,0.376458667,0.491851576,0.558737254,0.178899083
6,0.427139213,0.51945629,0.531787489,0.125
7,0.467502511,0.536093099,0.498400853,0.122249389
8,0.49940082,0.537044723,0.464462299,0.112732095
9,0.517156405,0.524345065,0.447848003,0.101796407
10,0.524804485,0.519659012,0.429523574,0.103250478
11,0.51394583,0.516216829,0.416719847,0.138173302
12,0.499049881,0.504670126,0.40795408,0.18443804
13,0.473238855,0.489498895,0.39389234,0.19047619
14,0.44102228,0.465815861,0.389652914,0.213114754
15,0.394501447,0.439241918,0.393404908,0.244343891
16,0.34720255,0.408378747,0.380017079,0.23655914
17,0.28106185,0.336851767,0.345784418,0.224852071
18,0.227234043,0.27453271,0.373333333,0.275229358
kan,0,1,2,3
0,341,1260,218,9
1,29678,5869,792,22
2,61625,12198,1822,88
3,93757,18827,3533,197
4,116885,24077,5659,431
5,124343,26815,7159,654
6,117999,26264,7849,784
7,100577,23287,7504,818
8,79275,19274,6472,754
9,58841,15116,5158,668
10,42452,11496,4051,523
11,29758,8818,3134,427
12,21050,6745,2439,347
13,14536,5428,1932,294
14,10682,4388,1527,244
15,7602,3588,1304,221
16,5648,2936,1171,186
17,3654,2179,937,169
18,1175,856,450,109
ryan,0,1,2,3
0,0,0,0.038461538,0
1,0.002237136,0.015789474,0.118110236,0.636363636
2,0.017224569,0.043812452,0.184615385,0.851851852
3,0.028132992,0.066759388,0.226624406,0.641509434
4,0.037001785,0.09478234,0.278656126,0.75
5,0.044185648,0.136739659,0.333333333,0.755555556
6,0.053138399,0.167924528,0.357104558,0.806763285
7,0.059793148,0.208573784,0.430953622,0.887931034
8,0.069606176,0.232713599,0.441176471,0.849137931
9,0.076319294,0.246046512,0.489244007,0.904166667
10,0.077684162,0.272797727,0.481432361,0.876146789
11,0.086639676,0.254001186,0.489698891,0.827956989
12,0.085368399,0.284320104,0.477124183,0.789473684
13,0.087068191,0.291927627,0.473140496,0.671755725
14,0.093833359,0.290070658,0.420609884,0.742424242
15,0.091272105,0.294614148,0.422360248,0.717948718
16,0.099433916,0.274628253,0.455303933,0.710526316
17,0.112350904,0.2820059,0.409946237,0.612068966
18,0.113507378,0.257871064,0.358247423,0.625
ryan tanki,0,1,2,3
0,,,0,
1,1,0,0,0.142857143
2,0.58490566,0.035087719,0.05,0.086956522
3,0.564935065,0.076388889,0.076923077,0.029411765
4,0.559485531,0.084690554,0.109929078,0.136363636
5,0.486434109,0.09252669,0.114754098,0.176470588
6,0.453703704,0.108614232,0.15015015,0.245508982
7,0.382702703,0.105731225,0.159613059,0.315533981
8,0.376879699,0.111310592,0.191515152,0.345177665
9,0.365472911,0.100189036,0.198492462,0.433179724
10,0.335323383,0.108901515,0.214876033,0.392670157
11,0.30529595,0.129521587,0.234627832,0.493506494
12,0.297066015,0.133867277,0.238747554,0.591666667
13,0.302359882,0.146603099,0.253275109,0.511363636
14,0.284280936,0.15,0.305,0.540816327
15,0.291666667,0.167803547,0.308823529,0.547619048
16,0.264851485,0.240270728,0.356020942,0.654320988
17,0.27739726,0.236401674,0.363934426,0.61971831
18,0.32,0.26744186,0.273381295,0.733333333
ryan 1s,0,1,2,3
0,0.05,0.107142857,0.538461538,0.666666667
1,0.129753915,0.171929825,0.417322835,0.363636364
2,0.237244069,0.216756341,0.436923077,0.148148148
3,0.345268542,0.320815948,0.492868463,0.301886792
4,0.419393218,0.402593393,0.529644269,0.227272727
5,0.475166981,0.486131387,0.527322404,0.2
6,0.490124411,0.508805031,0.536729223,0.178743961
7,0.510277957,0.537922506,0.486190724,0.107758621
